seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6,rtt_ms,loop_dt_ms,loop_hz
1,0.00045871734619140625,283.09375,101.30747985839844,101.32499694824219,0.0,0.9250005483627319,0.8500000238418579,101.83080291748047,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87798309326172,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0005245208740234375,4.910375,5.15368,194.0361062386489
2,0.03275585174560547,291.56573486328125,101.29802703857422,101.32499694824219,0.0,0.9250637292861938,1.0,101.93009948730469,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.878482818603516,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0005841255187988281,4.331858,4.904012,203.9146723131999
3,0.040686607360839844,286.89141845703125,101.32289123535156,101.32499694824219,0.0,0.9251272082328796,1.0,101.61563110351562,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8786506652832,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0006079673767089844,4.170664,4.835441,206.80636988436007
4,0.06067824363708496,285.8968505859375,101.30500793457031,101.32499694824219,0.0,0.9251910448074341,0.8500000238418579,101.87503051757812,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87767028808594,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.000667572021484375,4.362229,5.086602,196.59489773330014
5,0.08077383041381836,290.96099853515625,101.29795837402344,101.32499694824219,0.0,0.925255298614502,0.8500000238418579,102.04705047607422,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.86587142944336,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0010132789611816406,4.535135,5.161876,193.72801671330345
6,0.10100889205932617,298.0724182128906,101.32766723632812,101.32499694824219,0.0,0.925320029258728,0.9820650815963745,101.61253356933594,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.83763122558594,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0013172626495361328,4.416907,5.026088,198.96189640929487
7,0.12077999114990234,300.43560791015625,101.33873748779297,101.32499694824219,0.0,0.9253851175308228,0.9787701368331909,101.34669494628906,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.785499572753906,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0013530254364013672,4.369518,5.063678,197.4849111653624
8,0.14079666137695312,300.2140197753906,101.32916259765625,101.32499694824219,0.0,0.9254505634307861,0.8500000238418579,101.5802230834961,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.70081329345703,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0013232231140136719,4.144449,4.973978,201.04632549641354
9,0.16082048416137695,301.6938781738281,101.29841613769531,101.32499694824219,0.0,0.9255165457725525,0.8500000238418579,101.95573425292969,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.585289001464844,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0014185905456542969,4.10136,4.925641,203.01926185850735
10,0.18080663681030273,303.5450744628906,101.30748748779297,101.32499694824219,0.0,0.9255827069282532,1.0,102.03417205810547,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43688201904297,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0014483928680419922,4.18896,4.996685,200.1326879721255
